file_name,size_bytes,size_gb,data_type,sample_id,description,url
ftp.arb-silva.de.tar.gz,8193807270,7.631077682599425,Mixed archive,,This tar-ball is a copy of the ARB Database release 119 as of 2015/06/22. This database should be used as a basis for reference based binning and profiling tools for the CAMI challenge datasets.,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/databases.dir/ftp.arb-silva.de.tar.gz
program_results.tar.gz,12732936745,11.85847143176943,Mixed archive,,Results for 25 metagenome analysis programs evaluated in the first CAMI challenge,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/program_results.tar.gz
PROCESSED_NCBI.tar,158031390720,147.17820167541504,Mixed archive,,This tar-ball is a copy of the NCBI Refseq and Taxonomy Database as of 2015/06/22. This database should be used as a basis for reference based binning and profiling tools for the CAMI challenge datasets.,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/databases.dir/PROCESSED_NCBI.tar
450_genomes.tar,80527329280,74.99691963195801,Mixed archive,CAMI_TOY_high,"This tar-ball includes all CAMI_TOY_high data sets, such as the FASTQ file of the reads, the gold standard assembly, binning and profiling.",https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/ToyTestDatasets.dir/450_genomes.tar
30_genomes.tar,15411097600,14.352703094482422,Mixed archive,CAMI_TOY_low,"This tar-ball includes all CAMI_TOY_low data sets, such as the FASTQ file of the reads, the gold standard assembly, binning and profiling.",https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/ToyTestDatasets.dir/30_genomes.tar
225_genomes.tar,33560565760,31.255712509155273,Mixed archive,CAMI_TOY_medium,"This tar-ball includes all CAMI_TOY_medium data sets, such as the FASTQ file of the reads, the gold standard assembly, binning and profiling.",https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/ToyTestDatasets.dir/225_genomes.tar
camiClient_taxdb.tar.gz,94649168,0.08814890682697296,Mixed archive,,Taxonomy database to be used for cami upload client,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/databases.dir/camiClient_taxdb.tar.gz
taxonomy.tar.gz,26465030,0.024647479876875877,Mixed archive,,Taxonomy database as of 2015/06/22 to be used for CAMI challenge datasets,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/databases.dir/taxonomy.tar.gz
CAMI_medium.tar,28409446400,26.458358764648438,Mixed archive,CAMI_medium,"This tar-ball includes the CAMI_medium challenge data set and associated information, such as the FASTQ file of the reads for the individual samples, the gold standard assembly, binning and profiling and the genomes from which the samples w",https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/ChallengeDatasets.dir/CAMI_medium.tar
CAMI_low.tar,11249960960,10.47734260559082,Mixed archive,CAMI_low,"This tar-ball includes the CAMI_low challenge data set and associated information, such as the FASTQ file of the reads for the individual samples, the gold standard assembly, binning and profiling and the genomes from which the samples were",https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100344/ChallengeDatasets.dir/CAMI_low.tar
