csv,rows,columns,bytes,parse_error,stage_category,evidence_status,clean_release_policy,classification_notes
results/audits/final_provenance/final_result_script_map.csv,16,evidence_block;status;generator_scripts;primary_inputs;primary_outputs;derived_tables_or_figures;manuscript_use;clean_release_policy,7512,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/final_provenance/manuscript_pattern_support_audit.csv,1,pattern;supported_by;status,73,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/final_provenance/stage_result_ledger.csv,9,stage;paths;status;final_release_policy;notes,3392,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/final_provenance/table_provenance_audit.csv,27,table;md_path;status_hint;source_csv;md_rows;source_rows;status;details,7130,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/result_inventory/csv_schema_inventory.csv,198,csv;rows;columns;bytes;parse_error;stage_category;evidence_status;clean_release_policy;classification_notes,71557,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/result_inventory/parameter_grid_comparison.csv,3,grid;folder;run_json;patterns_from_stability_csv;lengths_from_stability_csv;k_values_from_stability_csv;conditions_from_stability_csv;n_stability_rows;readout_csv_exists;n_readout_rows;patterns_from_run_json;lengths_from_run_json;classification_lengths_from_run_json;k_values_from_run_json;status_for_final_manuscript,1542,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/result_inventory/result_directory_inventory.csv,100,dir;csv_files;json_files;md_files;total_csv_bytes;run_jsons;csv_names;is_final_result_dir;stage_category;evidence_status;clean_release_policy;classification_notes,26662,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/result_inventory/run_json_configuration_inventory.csv,77,json;stage_category;evidence_status;clean_release_policy;classification_notes;input;reads_csv;lengths;classification_lengths;patterns;k_values;conditions;representations;readout_representations;max_paired_reads;max_samples_per_group;max_clean_per_length;seed;skip_readout;n_reads;n_rows;n_stage2_reads;n_stability_rows;n_classification_rows;n_readout_rows,28232,,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/stage2/arg_snp_boundary/arg_snp_readout.csv,720,task;length;condition;representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1,59894,,stage2_main_mechanism_grid,final_evidence_source,include_selected,ARG/SNP boundary stress-test evidence.
results/stage2/arg_snp_boundary/arg_snp_stability.csv,300,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;task;length;condition;representation;n_pairs;n_features;density,60142,,stage2_main_mechanism_grid,final_evidence_source,include_selected,ARG/SNP boundary stress-test evidence.
results/stage2/attention_breakpoint/attention_breakpoint_change_points.csv,4,motif_position;first_length_pair_visible_ge_0_5;max_pair_visible_rate;lengths_tested,373,,stage2_main_mechanism_grid,final_evidence_source,include_selected,Position/context breakpoint diagnostic evidence.
results/stage2/attention_breakpoint/attention_breakpoint_results.csv,392,motif_position;length;observed_layout;representation;anchor_visible_rate;class_motif_visible_rate;any_class_motif_visible_rate;pair_visible_rate;partial_class_prefix_visible_rate;mi_label_pair_visible;mi_label_any_class_visible;mean_context_distance;base_tokens;k5_tokens;full_attention_base_pairs;full_attention_k5_pairs;classifier;accuracy;macro_f1;n_features,58029,,stage2_main_mechanism_grid,final_evidence_source,include_selected,Position/context breakpoint diagnostic evidence.
