evidence_block,status,generator_scripts,primary_inputs,primary_outputs,derived_tables_or_figures,manuscript_use,clean_release_policy
Stage-2 WGS-slice mechanism grid,final boundary evidence,scripts/run_stage2_representation_grid.py,data/real_slices/close_relative_reads.csv; configs/experiment_matrix.yaml,results/stage2/representation_grid/stability_grid.csv; results/stage2/representation_grid/readout_grid.csv; results/stage2/representation_grid/stage2_representation_grid_run.json,selected inline manuscript statements,historical WGS mechanism context and boundary checks,include selected summaries; exclude generated read intermediates
Stage-2 CSP component ablation,final boundary evidence,scripts/run_stage2_csp_ablation.py,results/stage2/representation_grid/stage2_derived_reads.csv,results/stage2/csp_ablation/csp_ablation_metrics.csv; results/stage2/csp_ablation/csp_ablation_deltas.csv; results/stage2/csp_ablation/csp_ablation_run.json,selected inline manuscript statements,CSP mechanism boundary not primary method,include selected summaries
Stage-2 attention/context diagnostic,final boundary evidence,scripts/run_stage2_attention_breakpoint.py,synthetic motif-position reads generated inside script,results/stage2/attention_breakpoint/attention_breakpoint_results.csv; results/stage2/attention_breakpoint/attention_breakpoint_change_points.csv; results/stage2/attention_breakpoint/attention_breakpoint_run.json,selected inline manuscript statements,read-length/context visibility limitation,include selected summaries; exclude generated reads
Stage-2 ARG/SNP boundary probes,final boundary evidence,scripts/run_stage2_arg_snp_boundary.py,synthetic ARG/SNP-style reads generated inside script,results/stage2/arg_snp_boundary/arg_snp_stability.csv; results/stage2/arg_snp_boundary/arg_snp_readout.csv; results/stage2/arg_snp_boundary/arg_snp_boundary_run.json,selected inline manuscript statements,stability is not allele/SNP equivalence,include selected summaries; exclude generated reads
Stage-2 deterministic neural compatibility,historical diagnostic only,scripts/run_stage2_neural_compatibility.py,results/stage2/representation_grid/stage2_derived_reads.csv,results/stage2/neural_compatibility/*,none in revised final manuscript,not used because no third neural baseline is added,exclude from clean final evidence unless archived separately
Compact CK4/CK5 + property ablation,final main evidence,scripts/run_stage3_compact_baselines.py,data/real_slices/close_relative_reads.csv,results/stage3/position_property_ablation/compact_baseline_stability.csv; results/stage3/position_property_ablation/compact_baseline_readout.csv; results/stage3/position_property_ablation/stage3_compact_baselines_run.json,inline compact stability/readout tables,main CK4+P and multi-scale property evidence,include summaries and run JSON; exclude generated reads
Compact ART validation,final main evidence,scripts/run_stage3_art_validation.py,results/stage3/art_illumina/art_paired_reads.csv,results/stage3/art_ck4p_position_ablation/art_stability_metrics.csv; results/stage3/art_ck4p_position_ablation/art_validation_summary.md; results/stage3/art_ck4p_position_ablation/stage3_art_validation_run.json,inline ART compact stability table,compact position-aware property ART stability,include stability summaries/manifests
Compact CAMI readout,final main evidence,scripts/run_stage3_cami_probe.py,data/stage3/cami/cami_toy_low_subset_reads_expanded.csv,results/stage3/cami_ck4p_position_ablation_fast/cami_probe_readout.csv; results/stage3/cami_ck4p_position_ablation_fast/cami_probe_summary.md; results/stage3/cami_ck4p_position_ablation_fast/stage3_cami_probe_run.json,inline CAMI compact readout tables,CAMI target/background and label-probe compact readout,include readout summary; exclude generated read intermediates
Full-matrix property contribution controlled,final upper-bound diagnostic,scripts/run_position_property_controlled_tasks.py,data/toy_reads/toy_hardened_tasks.csv,results/stage3/fullmatrix_property_contribution_controlled/position_property_controlled_results.csv; results/stage3/fullmatrix_property_contribution_controlled/position_property_controlled_run.json,stage3_table_fullmatrix_property_controlled_ci.md,controlled P-versus-non-P position/order diagnostic,include lightweight outputs
Full-matrix property contribution ART,final upper-bound diagnostic,scripts/run_stage3_art_validation.py,results/stage3/art_illumina/art_paired_reads.csv,results/stage3/art_fullmatrix_property_contribution/art_stability_metrics.csv; results/stage3/art_fullmatrix_property_contribution/art_validation_summary.md; results/stage3/art_fullmatrix_property_contribution/stage3_art_validation_run.json,stage3_table_fullmatrix_property_art_ci.md; stage3_table_fullmatrix_property_art_delta_ci.md,P-versus-non-P ART stability diagnostic,include stability summaries
Full-matrix property contribution CAMI,final upper-bound diagnostic,scripts/run_stage3_cami_probe.py,data/stage3/cami/cami_toy_low_subset_smoke.csv,results/stage3/cami_fullmatrix_property_contribution/cami_probe_readout.csv; results/stage3/cami_fullmatrix_property_contribution/cami_probe_summary.md; results/stage3/cami_fullmatrix_property_contribution/stage3_cami_probe_run.json,stage3_table_fullmatrix_property_cami_ci.md; stage3_table_fullmatrix_property_cami_delta_ci.md,P-versus-non-P CAMI target/background diagnostic,include readout summary; exclude generated read intermediates
Full-matrix property contribution CI,final uncertainty evidence,scripts/generate_fullmatrix_property_contribution_ci.py,full-matrix controlled/ART/CAMI outputs,results/stage3/fullmatrix_property_contribution_ci/*.csv; results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_contribution_ci_summary.md,stage3_table_fullmatrix_property_*_ci.md,CI statements in Abstract and Results,include all CI outputs and tables
Stage-3 legacy/bootstrap CI,final uncertainty evidence,scripts/generate_stage3_bootstrap_ci.py,results/stage3/compact_baselines; results/stage3/art_illumina; results/stage3/art_quality_stratified; results/stage3/cami_probe_expanded,results/stage3/bootstrap_ci/*.csv; results/stage3/bootstrap_ci/stage3_bootstrap_ci_summary.md,stage3_table_compact/art/cami_bootstrap_ci.md,uncertainty summaries for retained stage-3 analyses,include all CI outputs
Focused spaced-pattern sanity,final CSP boundary evidence,scripts/run_spaced_pattern_sanity.py,data/real_slices/close_relative_reads.csv,results/stage3/spaced_pattern_sanity/spaced_pattern_sanity_stability.csv; results/stage3/spaced_pattern_sanity/spaced_pattern_sanity_cardinality_summary.csv; results/stage3/spaced_pattern_sanity/spaced_pattern_sanity_best_four_position.csv,table_spaced_pattern_sanity_*.md,seed-layout boundary and S0246 limitation,include all focused sanity outputs
Manuscript Figure 1,final figure,scripts/generate_stage3_manuscript_assets_v2.py,manuscript tables and revised evidence architecture,manuscript/figures/stage3_fig_layered_evidence_architecture.png; .svg; .pdf; .tiff,Figure 1,layered evidence architecture,include PNG/SVG/PDF; TIFF optional
Project-level audits,audit evidence,scripts/audit_result_inventory.py; scripts/audit_final_provenance.py; scripts/prepare_release_repository.py,results directory; manuscript/final_manuscript.md; source CSVs,results/audits/result_inventory/*; results/audits/final_provenance/*; docs/final_release_provenance_map.md,not a scientific result; release integrity,include audit reports and maps
