dir,csv_files,json_files,md_files,total_csv_bytes,run_jsons,csv_names,is_final_result_dir,stage_category,evidence_status,clean_release_policy,classification_notes
results,0,0,1,0,,,False,results_container,container_directory,container_only,Top-level results container; evidence classification is assigned to child result directories.
results/audits,0,0,0,0,,,False,audit_container,container_directory,container_only,Top-level audit container; evidence classification is assigned to child audit directories.
results/audits/final_provenance,4,0,1,18107,,final_result_script_map.csv;manuscript_pattern_support_audit.csv;stage_result_ledger.csv;table_provenance_audit.csv,True,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/audits/result_inventory,4,0,1,127993,,csv_schema_inventory.csv;parameter_grid_comparison.csv;result_directory_inventory.csv;run_json_configuration_inventory.csv,True,audit_outputs,audit_evidence,include,Result inventory and manuscript provenance audit outputs.
results/stage2,0,0,0,0,,,False,stage2_container,container_directory,container_only,Top-level stage-2 container; evidence classification is assigned to child result directories.
results/stage2/arg_snp_boundary,2,1,1,120036,arg_snp_boundary_run.json,arg_snp_readout.csv;arg_snp_stability.csv,True,stage2_main_mechanism_grid,final_evidence_source,include_selected,ARG/SNP boundary stress-test evidence.
results/stage2/attention_breakpoint,2,1,1,58402,attention_breakpoint_run.json,attention_breakpoint_change_points.csv;attention_breakpoint_results.csv,True,stage2_main_mechanism_grid,final_evidence_source,include_selected,Position/context breakpoint diagnostic evidence.
results/stage2/csp_ablation,2,1,1,248676,csp_ablation_run.json,csp_ablation_deltas.csv;csp_ablation_metrics.csv,True,stage2_main_mechanism_grid,final_evidence_source,include_selected,CSP component ablation evidence.
results/stage2/publication_assets,0,0,0,0,,,True,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables,8,0,8,17026,,stage2_table_arg_snp_best_stability.csv;stage2_table_arg_snp_readout_aggregate.csv;stage2_table_attention_change_points.csv;stage2_table_csp_component_singletons.csv;stage2_table_csp_full_ablation.csv;stage2_table_hospital_69_75_focus.csv;stage2_table_readout_aggregate.csv;stage2_table_stability_gain_summary.csv,False,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/representation_grid,2,1,1,487276,stage2_representation_grid_run.json,readout_grid.csv;stability_grid.csv,True,stage2_main_mechanism_grid,final_evidence_source,include_selected,Main WGS-slice representation stability/readout grid.
results/stage3,2,2,0,4191,,cami_remote_tar_manifest.csv;gigadb_100344_files.csv,False,stage3_container,container_directory,container_only,Top-level stage-3 container; evidence classification is assigned to child result directories.
results/stage3/art_ck4p_position_ablation,1,1,1,7582,stage3_art_validation_run.json,art_stability_metrics.csv,True,stage3_position_property_revision,final_evidence_source,include_selected,ART compact CK4/CK5 plus position-aware property validation.
results/stage3/art_fullmatrix_property_contribution,1,1,1,2793,stage3_art_validation_run.json,art_stability_metrics.csv,True,stage3_fullmatrix_property_contribution,final_evidence_source,include_selected,ART P-versus-non-P full-matrix stability ablation.
results/stage3/art_illumina,2,1,1,26357,stage3_art_generate_run.json,art_generation_manifest.csv;art_stability_metrics.csv,True,stage3_external_validation,final_evidence_source,include_summary_exclude_fastq_reads,ART Illumina simulator validation.
results/stage3/art_quality_stratified,1,1,1,26551,art_quality_stratified_run.json,art_quality_stratified_stability.csv,True,stage3_external_validation,final_evidence_source,include_selected,ART quality-stratified summary.
results/stage3/bootstrap_ci,4,0,1,15395,,stage3_art_bootstrap_ci.csv;stage3_art_quality_bootstrap_ci.csv;stage3_cami_macro_f1_bootstrap_ci.csv;stage3_compact_bootstrap_ci.csv,True,stage3_external_validation,final_evidence_source,include,Analysis-cell bootstrap CI tables used in final manuscript.
results/stage3/cami2_marine_lightweight_probe_core,3,1,1,22221998,cami2_marine_lightweight_probe_run.json,cami2_marine_clean_reads.csv;cami2_marine_probe_reads.csv;cami2_marine_stability.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/cami_ck4p_position_ablation_fast,1,1,1,52376,stage3_cami_probe_run.json,cami_probe_readout.csv,True,stage3_position_property_revision,final_evidence_source,include_summary_exclude_reads,CAMI compact CK4/CK5 plus position-aware property readout probe.
results/stage3/cami_fullmatrix_property_contribution,1,1,1,10299,stage3_cami_probe_run.json,cami_probe_readout.csv,True,stage3_fullmatrix_property_contribution,final_evidence_source,include_summary_exclude_reads,CAMI P-versus-non-P full-matrix readout ablation.
results/stage3/cami_probe_expanded,1,1,1,48560,stage3_cami_probe_run.json,cami_probe_readout.csv,True,stage3_external_validation,final_evidence_source,include_summary_exclude_reads,Expanded CAMI_TOY_low readout probe used in final manuscript.
results/stage3/compact_baselines,2,1,2,466372,stage3_compact_baselines_run.json,compact_baseline_readout.csv;compact_baseline_stability.csv,True,stage3_external_validation,final_evidence_source,include_summary_exclude_reads,Compactness controls and stability/readout external validation.
results/stage3/contract_v2,0,0,0,0,,,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami2_marine_stability,4,1,1,22220915,cami2_marine_lightweight_probe_run.json,cami2_marine_clean_reads.csv;cami2_marine_figure_source.csv;cami2_marine_probe_reads.csv;cami2_marine_stability.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami_toy_readout,1,1,1,15771,stage3_cami_probe_run.json,cami_probe_readout.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/compact_baselines,3,1,1,15807016,stage3_compact_baselines_run.json,compact_baseline_readout.csv;compact_baseline_stability.csv;stage3_compact_baseline_reads.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/dimension_reduction_baselines,4,1,1,473376,dimension_reduction_run.json,dimension_reduction_readout.csv;dimension_reduction_readout_summary.csv;dimension_reduction_stability.csv;dimension_reduction_stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines,6,1,1,245479,high_k_compressed_baseline_run.json,high_k_minhash_jaccard.csv;high_k_minhash_jaccard_summary.csv;high_k_readout.csv;high_k_readout_summary.csv;high_k_stability.csv;high_k_stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit,9,2,1,3192216,historical_descriptor_audit_run.json;historical_descriptor_runtime_run.json,historical_descriptor_figure_source.csv;historical_descriptor_local_metrics.csv;historical_descriptor_local_readout.csv;historical_descriptor_local_summary.csv;historical_descriptor_paired_contrasts.csv;historical_descriptor_readout.csv;historical_descriptor_runtime.csv;historical_descriptor_stability.csv;historical_descriptor_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/knn_mi_robustness,3,1,1,15378,knn_mi_run.json,knn_mi_detail.csv;knn_mi_increment_inference.csv;knn_mi_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial,5,1,1,11030458,local_change_factorial_run.json,local_change_factorial_conditional_contrasts.csv;local_change_factorial_metrics.csv;local_change_factorial_readout.csv;local_change_factorial_reads.csv;local_change_factorial_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep,8,1,1,8448355,local_mutation_fraction_sweep_run.json,local_mutation_fraction_delta_readout.csv;local_mutation_fraction_delta_readout_summary.csv;local_mutation_fraction_distance_summary.csv;local_mutation_fraction_pair_metrics.csv;local_mutation_fraction_summary.csv;local_mutation_triplets_frac_0.01.csv;local_mutation_triplets_frac_0.03.csv;local_mutation_triplets_frac_0.05.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_sensitivity,4,1,1,3764942,local_mutation_sensitivity_run.json,local_mutation_delta_readout.csv;local_mutation_pair_metrics.csv;local_mutation_sensitivity_summary.csv;local_mutation_triplets.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/mixed_metric_audit,6,1,1,2937673,block_weight_audit_run.json,block_weight_delta_readout.csv;block_weight_delta_readout_summary.csv;block_weight_local_mutation_metrics.csv;block_weight_local_mutation_summary.csv;block_weight_stability.csv;block_weight_stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
